province,co,pm10,no2,ozone,so2
Seoul,0.5925604746996804,54.363760839872235,0.035601551805111833,0.018957553626198078,0.0055267001437699645
Busan,0.4128480145910538,52.0254830367412,0.02138947207987219,0.025593336357827488,0.005644150316293926
Daegu,0.5740880647243589,51.18276861955124,0.024136752128205107,0.022439636766025627,0.005520680721153844
Incheon,0.5972158831437705,59.858055682555936,0.029855317194888185,0.022115928805111835,0.0073057964185303465
Gwangju,0.5552715654920126,48.55842081271564,0.02136353265175718,0.02361250572523961,0.0038094477539936124
Daejeon,0.5937319336773159,45.82226532776355,0.02079643997763578,0.020791001044728447,0.004376007894568691
Ulsan,0.4616978548370607,50.75860337728436,0.02279240831629392,0.02276079416293931,0.007844332888178904
Gyeonggi-do,0.6229575536070283,61.33591967108624,0.03039890457827474,0.0202277498913738,0.0058708352332268315
Gangwon-do,0.6614802981821082,53.77086566271563,0.018038475613418516,0.02544815150159744,0.005048957849840249
Chungcheongbuk-do,0.6900502053897766,59.620264719329015,0.021432222718849828,0.02269420354952076,0.006002282044728432
Chungcheongnam-do,0.5799254525974439,48.49444698009584,0.017313289198083042,0.023660695242811478,0.004364331351437697
Jeollabuk-do,0.5285410010638976,53.39380800284344,0.015227521686900957,0.02255187889137379,0.004678685539936093
Jeollanam-do,0.48846036815015953,43.61501597437702,0.016752624383386577,0.028474060549520792,0.007384223354632582
Gyeongsangbuk-do,0.6290795679073486,51.35162026456874,0.019303651293929705,0.02513709110862619,0.005943587392971238
Gyeongsangnam-do,0.43430701355591045,47.464856229872204,0.019519625744408933,0.026418454255591046,0.004548760092651758
Jeju-do,0.3252320097252394,44.47040925003194,0.010607865511182098,0.03661341853993609,0.0027385516230031943
